videoId,channelId
Q7djS9Jh3vU,UC7TEzgIRQVei9kAVZuC9fNA
uAEuiUwJ3h0,UC6ufj77121qR9OMZ5BQO1Wg
UpMLVDma-4Q,UCRijo3ddMTht_IHyNSNXpNQ
7vUfs06ZkIg,UCC9h3H-sGrvqd2otknZntsQ
IrYMNzhrdbY,UCOw97okGoUsUZAoeI3WEviA
ZOVfs71ggrQ,UCcLLDqqgjHoFaNkNdIrf_FA
qcVRBFj8kCo,UCyCTtyAUOliulO9mXBnMnHA
vDfO6wV2X60,UCr6j1S4fUuOPLq32ONnFq-w
wuFQtA1lKOE,UCpIOTQ9JOqhtNcOVqK0cjZA
zBU56Dq91cY,UCO8qj5u80Ga7N_tP3BZWWhQ
oavayHUI68g,UCs14V6Z-JxsdE7opkYT8TwA
kySCKJ2O6c8,UCLEwl4YV5KFinhH0cNK0Zpw
V22O4KKlsOI,UClpEE-Led9ZK0GJQKvU--3Q
v-1MQ0Cnbhs,UCsEXpx8Ew8lQZYTMWu1Ep5g
tBObt6HV-Zk,UCAedp6pamFje1YsCuO3YQ2g
-NSvbGxzpKk,UCYG6DQUw79szmnuNux_S8pg
jfjTVV0hZ60,UCTgVl5peu2WD7LhbLDdmfgA
B2QdWRvbUME,UCfvLH5R0Rv_GWldg_YfYacA
RKdrRmCcfEQ,UCr6j1S4fUuOPLq32ONnFq-w
